cuisine,Calories,Fat,Carbs,Protein,num_ingredients,luxury_score,Life expectancy at birth (years),Healthy life expectancy at birth (years),UHC: Service coverage index,Obesity_Adult_18plus,cluster,PCA1,PCA2,cluster_str
Pakistan,392.82142857142856,20.535714285714285,33.92857142857143,19.0,23.035714285714285,1.0714285714285714,65.9909210205,56.6922798157,45.2095909119,23.0065002441,3,-2.1409639450019204,-1.1322397350787854,3
Panama,495.5,14.5,55.5,36.0,8.0,0.0,74.352684021,65.2787094116,78.2197418213,36.071018219,1,-1.2282736579324183,1.92187971883792,1
Paraguay,311.0,14.0,40.0,6.0,3.0,0.0,73.1644287109,60.8781394958,72.2722473145,32.9591903687,4,0.3380704240136792,-0.9164614200132165,4
Peru,400.94736842105266,18.75,37.65,19.9,12.625,0.3,71.6672668457,62.9869308472,71.1089477539,27.2884292603,4,-0.7184905239892986,0.25891099894747,4
Philippines,376.7083333333333,21.75,21.583333333333332,23.916666666666668,8.041666666666666,0.5833333333333334,66.4083404541,60.7510871887,58.2122612,8.74172973633,3,-1.3670760105907558,-0.6161194659414717,3
Poland,437.95652173913044,26.52173913043478,32.65217391304348,17.08695652173913,11.73913043478261,1.0,71.5530395508,63.0759925842,82.0058670044,27.4997005463,2,-0.34491065569111473,0.9839882397895895,2
Portugal,411.9824561403509,21.719298245614034,32.59649122807018,21.94736842105263,10.263157894736842,0.6842105263157895,81.1796112061,69.5192718506,87.9082107544,21.7911090851,2,0.7891876590287169,1.8786690157253711,2
Romania,504.1666666666667,37.0,26.5,17.333333333333332,5.833333333333333,0.3333333333333333,69.2089614868,61.6405601501,78.3933486938,34.0397109985,1,-1.2345371187378327,1.3551301779732465,1
Russian Federation,237.47826086956522,14.0,25.541666666666668,6.375,11.125,0.9166666666666666,65.5714645386,63.6248970032,79.1590194702,24.1948204041,4,0.8665743271733668,-1.4269301688654084,4
Samoa,349.0,20.666666666666668,40.333333333333336,4.333333333333333,7.666666666666667,1.0,70.2737197876,61.5702819824,55.1279716492,62.4293899536,4,-0.07096411927226487,-0.7048404849847903,4
Saudi Arabia,528.0,21.0,55.0,29.0,4.0,0.0,77.3684997559,65.7972640991,74.367401123,40.5990791321,1,-1.0674104708290553,2.208989438163369,1
Serbia,322.0,19.0,19.857142857142858,17.571428571428573,7.571428571428571,0.2857142857142857,75.6215515137,62.3560791016,71.6723632813,22.5079193115,4,0.21102558546518607,-0.2513400207222,4
Singapore,477.3333333333333,32.0,24.333333333333332,25.333333333333332,13.333333333333334,3.0,83.8570861816,72.3658981323,88.5146484375,13.8766298294,2,1.3165308794180102,3.28443544190391,2
Slovakia,366.875,21.875,30.125,13.5,10.625,0.75,71.1250915527,64.9412841797,81.754447937,26.8242492676,4,0.2681300362333284,0.3268635236130792,4
Somalia,337.75,13.75,43.75,9.75,16.0,0.5,56.3325195313,47.4233856201,26.7909507751,14.6138296127,3,-3.407637639305064,-3.7011821732429184,3
South Africa,312.51851851851853,15.0,35.2962962962963,10.851851851851851,13.222222222222221,1.1111111111111112,61.4991874695,51.669052124,70.9511032104,30.8197097778,4,-1.0167537854334652,-1.8913092919960568,4
Spain,386.9931506849315,19.539473684210527,32.61842105263158,18.532894736842106,13.5,0.9539473684210527,79.9862976074,71.8339157104,85.2563400269,15.6691303253,2,1.0839931360341006,1.5146466896889998,2
Sri Lanka,329.8181818181818,16.363636363636363,35.27272727272727,12.363636363636363,8.454545454545455,0.45454545454545453,74.1582946777,66.728263855,66.739982605,10.5636396408,4,0.2351055313738656,-0.3314209739430093,4
Sweden,336.04347826086956,21.208333333333332,23.666666666666668,12.75,11.083333333333334,1.7916666666666667,84.31275177,71.1183242798,85.2498703003,15.2670097351,2,2.121048030871375,1.316020180212906,2
Switzerland,383.40625,23.09375,25.15625,18.875,6.59375,0.71875,85.1147994995,71.1491622925,86.3357620239,12.111410141,2,1.4039126960653021,1.8107904670967072,2
Syrian Arab Republic,283.53846153846155,13.0,32.46153846153846,10.0,9.0,1.1538461538461537,70.5609054565,62.7561721802,64.1285171509,33.9417190552,4,0.5077037118930844,-1.0995773259459527,4
Thailand,384.45714285714286,20.614285714285714,33.371428571428574,20.285714285714285,10.157142857142857,2.085714285714286,78.9681625366,65.756729126,81.9784622192,15.3846101761,2,0.8586829164433635,1.274959981146792,2
Trinidad and Tobago,261.0,22.0,4.0,11.5,7.5,0.0,75.1530609131,63.9254264832,75.0048980713,28.0527801514,4,0.9444658161527604,-0.684162642670426,4
Tunisia,222.16666666666666,9.25,21.583333333333332,14.166666666666666,11.083333333333334,0.8333333333333334,71.5119400024,64.3753814697,67.137046814,26.8322296143,4,0.9247514607978662,-1.3816738109368223,4
Ukraine,367.04761904761904,19.095238095238095,34.76190476190476,15.523809523809524,8.714285714285714,0.7619047619047619,66.3338012695,61.5521583557,75.5077209473,23.6347904205,4,-0.46779194629664855,-0.3217224594812167,4
Uruguay,133.0,14.0,1.0,0.0,18.0,0.0,71.2471847534,66.8634719849,81.5299682617,33.343788147,4,2.119797547314423,-1.9920211866515334,4
Uzbekistan,587.0,19.5,88.5,21.5,11.5,0.0,70.1640625,62.7023963928,74.8412704468,30.0284500122,1,-2.424650800074479,1.882884745099779,1
Venezuela (Bolivarian Republic of),233.0,8.875,27.125,12.375,6.0,0.25,75.9495391846,62.0461578369,75.1345977783,22.7159194946,4,1.0419312536366774,-1.1468956666091774,4
Viet Nam,411.1969696969697,18.424242424242426,39.36363636363637,23.09090909090909,11.06060606060606,1.3484848484848484,69.7252426147,67.9841690063,68.0840072632,2.01573991776,2,-0.5088621177903144,0.5526039154037744,2
Yemen,262.0,8.0,23.0,22.0,10.0,0.0,63.0885276794,57.2241172791,42.4872016907,13.653719902,3,-1.5475978023852346,-2.7138681190099683,3
Zimbabwe,266.0,15.0,24.0,12.0,12.0,0.0,58.4810218811,50.1810264587,55.0428390503,14.2107801437,3,-1.9307142715856156,-3.1449410300252305,3
